username,user id,access hash,group,group id
,5075533397,-2914249166762420696,Crypto Shiller,1613870380
AnDer_SonM,5016727097,-5810213233068139653,Crypto Shiller,1613870380
BSCDEV1,1816151045,-1064981934651906659,Crypto Shiller,1613870380
vnxno,1762446541,893575693747355636,Crypto Shiller,1613870380
vitalii_albertovich777,463959459,-6941328148374367492,Crypto Shiller,1613870380
JJ_BTS,2032645152,6974060738549597295,Crypto Shiller,1613870380
CRYPTO_WORLD111,2017116497,8345778903276161332,Crypto Shiller,1613870380
DomSinu,2145212710,432290753071888972,Crypto Shiller,1613870380
Luckyddalgi,1375427480,-3248067792888004905,Crypto Shiller,1613870380
Babydogecoindev23,1825815500,-6928378671061809352,Crypto Shiller,1613870380
realwaqas,1636139229,1477649113399894920,Crypto Shiller,1613870380
MarkusXI,2071822914,-1565367793221240949,Crypto Shiller,1613870380
jeremyyyyyyyyyy,1823496676,-1438932794645684442,Crypto Shiller,1613870380
X99token_admin,2084033922,243377060428400986,Crypto Shiller,1613870380
XX20077,1780058788,-7049777819673161517,Crypto Shiller,1613870380
yoyo123412,939905939,-3149703196611645708,Crypto Shiller,1613870380
yaserbalik,998450335,4868475586903411616,Crypto Shiller,1613870380
yes_me_11,2062704592,1945975230099990549,Crypto Shiller,1613870380
yass_bjl,2109803324,-6000476306951655801,Crypto Shiller,1613870380
yamaa22,1877977629,75573107652616979,Crypto Shiller,1613870380
yavanniest,1388001739,1324058758104754422,Crypto Shiller,1613870380
,1963154219,-8180591784195134206,Crypto Shiller,1613870380
tycheGoddessss,2036520446,4455483850619778562,Crypto Shiller,1613870380
andrei_adam94seccondary,698216402,-7141508470251623717,Crypto Shiller,1613870380
Sudharshan143,693316839,-8979181141894529048,Crypto Shiller,1613870380
Age_4444,349212298,5518288059766538127,Crypto Shiller,1613870380
Rektt23,1306039078,8246538481446159456,Crypto Shiller,1613870380
Rahman_Jahgo,2062757901,-7649630736779232632,Crypto Shiller,1613870380
rianmaulana465,1493674913,1744242553959980303,Crypto Shiller,1613870380
jdavidle,635544775,7527601800006112334,Crypto Shiller,1613870380
PlanL,744210585,-6544121005368724417,Crypto Shiller,1613870380
h88da89ud8aud9hau9hu,866991417,-4698586633183017533,Crypto Shiller,1613870380
RummyBiz,715343421,7482053625453509648,Crypto Shiller,1613870380
tyilakia,887313217,-9198233945405825108,Crypto Shiller,1613870380
driftingprogrammer,1087126991,524647994184090815,Crypto Shiller,1613870380
Teck_92,795079898,4658120130559268661,Crypto Shiller,1613870380
fsociety86,209695913,-4484870186333121267,Crypto Shiller,1613870380
Tobias75,643634518,6444246006613571702,Crypto Shiller,1613870380
Jocolatesss,1123595273,2354952506347044154,Crypto Shiller,1613870380
T1242,999938229,-680729432101028018,Crypto Shiller,1613870380
Kd_Boss2221,829287088,-16487459264483914,Crypto Shiller,1613870380
theIegram,631440449,3930487930103276511,Crypto Shiller,1613870380
shahfans2,677028157,8243103573075614603,Crypto Shiller,1613870380
ForexMaster743,1124595428,7733339794539907289,Crypto Shiller,1613870380
foxesden,729726203,-7847031542223469443,Crypto Shiller,1613870380
Angelica_Trader,1190403068,2864684421207041168,Crypto Shiller,1613870380
trustthepros,763960440,8004654478391764824,Crypto Shiller,1613870380
TradeNzn,1835964123,4280302010497604563,Crypto Shiller,1613870380
theinnovestor,181284229,-4840217575727897379,Crypto Shiller,1613870380
NandeZsounds,1172013816,5099392657316529040,Crypto Shiller,1613870380
Kupsieethedemonyo,844559856,8592212238995937401,Crypto Shiller,1613870380
kishanjaiswal0,955850018,4382566527853453352,Crypto Shiller,1613870380
Allen683,1828637056,-2921148269132461864,Crypto Shiller,1613870380
Gemmaatkinson1,1716375637,4702471175193537931,Crypto Shiller,1613870380
Kentmike,443830382,-2514660985912449421,Crypto Shiller,1613870380
Shinegambino,1779955036,2599912169200258669,Crypto Shiller,1613870380
Panayotis_Giannopoulos,724984447,1208588453261443818,Crypto Shiller,1613870380
ArtKolducks,1374448732,1024827291557881395,Crypto Shiller,1613870380
capitalbanky,1558509019,-954355240875846014,Crypto Shiller,1613870380
giftcardreddem,902528137,6335399391518642743,Crypto Shiller,1613870380
Cryptokiller666,1769442947,-722755607019599781,Crypto Shiller,1613870380
bernhard1337,1071166844,-2383372801505000363,Crypto Shiller,1613870380
Lexy3star,1089822652,-9121948954700079667,Crypto Shiller,1613870380
leanzaanino,1095606356,-9104413083980357286,Crypto Shiller,1613870380
chianghung,1638607711,6783342796721765122,Crypto Shiller,1613870380
gabrielamsc,1022838067,3151686407472346453,Crypto Shiller,1613870380
Lizafatema1,1591261567,4490414031424838576,Crypto Shiller,1613870380
CryptoGuy1010,1627207605,-7376719242936557578,Crypto Shiller,1613870380
biggBanker,327755342,911539108169357505,Crypto Shiller,1613870380
Lex_LuThorr,540489282,-1042006996430564881,Crypto Shiller,1613870380
CryptoBap3,2037620145,-4259947793753408424,Crypto Shiller,1613870380
Bryanagills,947629685,-8844124456544514002,Crypto Shiller,1613870380
munrahlast,947381126,7669445453812262220,Crypto Shiller,1613870380
Casimit0,1910777999,7783444413304694785,Crypto Shiller,1613870380
danialhakkim,225855015,-8761330313504858213,Crypto Shiller,1613870380
langtree,428703077,3699786194794084884,Crypto Shiller,1613870380
cutechloe,1208458859,-1762539775161067349,Crypto Shiller,1613870380
Mhilmi98,322439201,-4019977613549282148,Crypto Shiller,1613870380
Davison44,1560048346,-6769620501269706315,Crypto Shiller,1613870380
harithhasim,854420943,-1396537430716618196,Crypto Shiller,1613870380
Crypto_Lover17,1104029114,7376316681669647358,Crypto Shiller,1613870380
Binara95,1027796993,1788126941889790538,Crypto Shiller,1613870380
hallowelt12345,1072788296,4607917420771958401,Crypto Shiller,1613870380
miss_anaya5,1951108712,-3443406604706991141,Crypto Shiller,1613870380
dilek_avax,1840613425,2861873481892810399,Crypto Shiller,1613870380
Elvigood,704957556,1714411285312259647,Crypto Shiller,1613870380
mrdiamondhands,1255397554,829614272293189965,Crypto Shiller,1613870380
CryptoWhalles,2050244922,9100347925545643009,Crypto Shiller,1613870380
enexskooz,1257728583,5815371926943317623,Crypto Shiller,1613870380
Southwell161,1153378772,7837845126766865890,Crypto Shiller,1613870380
Agushuang89,1366578214,4890735176102626652,Crypto Shiller,1613870380
MightyAceee,854252863,-6921722673053429811,Crypto Shiller,1613870380
EMO0312,1851868690,-8898198723222785867,Crypto Shiller,1613870380
muhammadsol21,1988358551,-6958520885218974451,Crypto Shiller,1613870380
Eu3883,1725807796,4497042086476793322,Crypto Shiller,1613870380
MaKobets,340105382,-9056548021388368011,Crypto Shiller,1613870380
Mrjobsteve,2106137020,8744421502340629765,Crypto Shiller,1613870380
hylzan,1726199362,267749295758967329,Crypto Shiller,1613870380
Moonegold,1772983985,-8057370799319696395,Crypto Shiller,1613870380
tbe19,997490720,4073915293589952875,Crypto Shiller,1613870380
Alikis,47585967,5460181483637978010,Crypto Shiller,1613870380
iyating,991188310,-5683812312905467462,Crypto Shiller,1613870380
Tyan_01,1182318136,3677029218609730745,Crypto Shiller,1613870380
Eweyee,663113498,-9055133243671233394,Crypto Shiller,1613870380
samuelpbo,1313799664,-2586753138315747783,Crypto Shiller,1613870380
ratull5,1109950676,2611613335563934716,Crypto Shiller,1613870380
ElaraSi,447566145,-7690030777293286997,Crypto Shiller,1613870380
NomberOn,320281765,-5337150998859394294,Crypto Shiller,1613870380
IlyaMaluha,403566129,-3732349805799704187,Crypto Shiller,1613870380
Nachalnik007,1076512347,-9162839633712096787,Crypto Shiller,1613870380
eshemm,1063208818,-6984932968361930117,Crypto Shiller,1613870380
armandsouley,673847395,8079720433368776144,Crypto Shiller,1613870380
ineedkefir,388368782,23729413555644693,Crypto Shiller,1613870380
Mendel_EGOUNLETY,645737590,2556974932219655645,Crypto Shiller,1613870380
Snks1995,344524982,7560340166001358503,Crypto Shiller,1613870380
ilililiIlilililililli,1686172670,3237632509711688594,Crypto Shiller,1613870380
dog101,1079315153,-658394935394123734,Crypto Shiller,1613870380
Elnormel,663229461,6179482435331028102,Crypto Shiller,1613870380
IB_junior_DMS,709884180,-2142216150980487933,Crypto Shiller,1613870380
nicolinz,556449098,-2057090525191894238,Crypto Shiller,1613870380
FOLDSOFTERRY,1267738244,8263035387954127248,Crypto Shiller,1613870380
jimmychonga,1211388777,-7300619699994416740,Crypto Shiller,1613870380
Sky_net00,657626447,-6506929537123056138,Crypto Shiller,1613870380
TanAlpYan,2045464551,6695553280385418125,Crypto Shiller,1613870380
krypt0k1ng,1916419314,5134120752405543175,Crypto Shiller,1613870380
ferid211,1115873214,-6529127927638375312,Crypto Shiller,1613870380
flavia0897,1905231002,-4720981553730370967,Crypto Shiller,1613870380
KiemuteR,1153048221,-1388548366458148590,Crypto Shiller,1613870380
fra2795,456705335,6308067825133520281,Crypto Shiller,1613870380
Baskyabidu,1125126668,5055613741348493971,Crypto Shiller,1613870380
aoneprince1,1190572285,9095682213619470475,Crypto Shiller,1613870380
littelsquirrel,961294251,-4158845662011625733,Crypto Shiller,1613870380
cxc667,1878010196,7680007796639506110,Crypto Shiller,1613870380
miiieneth,2020159443,-4432583016720538100,Crypto Shiller,1613870380
gaurav20023105,1228144647,-6053915462796659079,Crypto Shiller,1613870380
GradyBbb,1879889862,-3216603759780734018,Crypto Shiller,1613870380
staN_GER,621338186,-4043549564751386849,Crypto Shiller,1613870380
Goncalls2,1894908934,-6748449852046904614,Crypto Shiller,1613870380
Mobile7285,1945870508,-4222838157687710240,Crypto Shiller,1613870380
heectir7,2068745994,5284120100011090266,Crypto Shiller,1613870380
Muhaslann,1377610291,4133286080558229306,Crypto Shiller,1613870380
Brabus365,1403343896,-5103956238598735989,Crypto Shiller,1613870380
mrjomp,1593923881,1349697114840340776,Crypto Shiller,1613870380
Mike_hru,1443589351,-3300031942732095708,Crypto Shiller,1613870380
mmmvw803,870926590,-7614450657316438142,Crypto Shiller,1613870380
Hakan_Sukur,798510966,-808287716251563702,Crypto Shiller,1613870380
ali_habshee_1997,94603278,-3874704185268470499,Crypto Shiller,1613870380
MikePanela,1858013991,-6046875840778883898,Crypto Shiller,1613870380
Hustlinng,1881556383,-9006323192303023153,Crypto Shiller,1613870380
mrh7777,1920321207,3715124536032780641,Crypto Shiller,1613870380
NeVrOoo,168000708,5225605548873537198,Crypto Shiller,1613870380
iamxtianxx,1040886799,2809631298103144698,Crypto Shiller,1613870380
CommunityKid,1499863012,-8161614998993420252,Crypto Shiller,1613870380
future_ironman,475862711,-2342270931661302963,Crypto Shiller,1613870380
nidemingziqi,1084262814,-3359098263307909961,Crypto Shiller,1613870380
